@relation spirals
@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1, 2}
@data
-0.5546115403, -0.518381285, 1
-0.528151422, -0.559167757, 1
0.6560178608, 0.128017735, 2
0.5827848576, 0.479400112, 2
-0.2966687042, -0.280395884, 2
-0.4832146368, -0.584467058, 1
0.595522702, -0.066361579, 2
-0.4881434446, -0.659251043, 1
-0.4454194713, -0.689669739, 1
-0.3792703808, 0.810090166, 2
-0.3767700547, -0.6848713, 1
-0.1004316984, -0.424596489, 2
-0.3269304207, -0.699397738, 1
-0.1706643233, -0.429621638, 2
-0.3644987481, -0.039890032, 2
-0.0887649909, -0.561251277, 2
0.6487869805, 0.304728239, 2
-0.9034601755, 0.359159149, 2
-0.2829739548, 0.902089983, 2
-0.3177943423, -0.783661366, 1
-0.252619966, -0.772151962, 1
-0.1640385316, -0.690318872, 1
0.5252499875, 0.497736246, 2
-0.397483966, -0.087805762, 2
-0.1842646719, -0.895648196, 1
-0.1043161971, -0.819469072, 1
-0.0557107187, -0.844762843, 1
0.0183500253, -0.689212572, 1
0.2261250875, -0.468451115, 2
0.0542573419, -0.814283129, 1
0.1060536766, -0.777871484, 1
-0.2698683442, -0.129675692, 2
0.1563461815, -0.783464145, 1
0.2098774181, -0.802073952, 1
0.2613295011, -0.790948034, 1
0.3146195797, -0.785745067, 1
0.1162005666, 0.689025609, 2
0.6734197689, 0.263940829, 2
0.3727206907, -0.790314595, 1
0.6009092838, 0.205601474, 2
0.4213559505, -0.762621724, 1
0.4722180944, -0.740812091, 1
0.521817648, -0.715292076, 1
0.5907584514, -0.718407594, 1
-0.3126367275, 0.778172321, 2
0.6545481939, -0.705320296, 1
0.6604449254, -0.617714961, 1
0.3143079974, -0.508671918, 2
0.6860729258, -0.561617365, 1
0.12038045, 0.88126102, 2
0.2110666323, 0.807344663, 2
0.7644885437, -0.557214265, 1
0.7003401784, -0.428532019, 1
0.8579722596, -0.476091851, 1
0.8898990496, -0.422670631, 1
0.91718438, -0.366427881, 1
0.0008350035, -0.496065139, 2
0.9360109347, -0.306224381, 1
-0.1841210612, -0.398949804, 2
0.8867187815, -0.220972064, 1
0.0307749383, -0.512851961, 2
0.9278903417, -0.173022939, 1
-0.2860361124, -0.111269478, 2
0.6125212241, -0.201015342, 2
-0.2978439488, -0.031485929, 2
0.6618426848, 0.085599335, 2
0.2250837584, 0.714563423, 2
0.9919014414, -0.126747801, 1
0.7236282626, -0.00906572, 2
0.9255340353, -0.051121421, 1
-0.9116394465, 0.230349682, 2
